

This is RAxML version 8.2.12 released by Alexandros Stamatakis on May 2018.

With greatly appreciated code contributions by:
Andre Aberer      (HITS)
Simon Berger      (HITS)
Alexey Kozlov     (HITS)
Kassian Kobert    (HITS)
David Dao         (KIT and HITS)
Sarah Lutteropp   (KIT and HITS)
Nick Pattengale   (Sandia)
Wayne Pfeiffer    (SDSC)
Akifumi S. Tanabe (NRIFS)
Charlie Taylor    (UF)


Alignment has 759 distinct alignment patterns

Proportion of gaps and completely undetermined characters in this alignment: 77.33%

RAxML rapid bootstrapping and subsequent ML search

Using 1 distinct models/data partitions with joint branch length optimization



Executing 500 rapid bootstrap inferences and thereafter a thorough ML search 

All free model parameters will be estimated by RAxML
GAMMA model of rate heterogeneity, ML estimate of alpha-parameter

GAMMA Model parameters will be estimated up to an accuracy of 0.1000000000 Log Likelihood units

Partition: 0
Alignment Patterns: 759
Name: No Name Provided
DataType: AA
Substitution Matrix: LG
Using fixed base frequencies




RAxML was called as follows:

raxmlHPC-PTHREADS -T 16 -s /jetstream2/scratch/main/jobs/72980228/inputs/dataset_3e205436-d90a-4eae-b7a1-e201dcf68d8c.dat -n galaxy -m PROTGAMMALG -p 12345 -N 500 -B 0.03 -c 25 -f a -K GTR -W 100 -x 12345 



Time for BS model parameter optimization 2.006609
Bootstrap[109]: Time 105.150123 seconds, bootstrap likelihood -139998.134215, best rearrangement setting 12
Bootstrap[110]: Time 68.992838 seconds, bootstrap likelihood -137529.654165, best rearrangement setting 7
Bootstrap[111]: Time 116.865217 seconds, bootstrap likelihood -123325.347734, best rearrangement setting 15
Bootstrap[112]: Time 105.340556 seconds, bootstrap likelihood -139080.344973, best rearrangement setting 14
Bootstrap[113]: Time 47.554911 seconds, bootstrap likelihood -136908.170423, best rearrangement setting 5
Bootstrap[114]: Time 53.606525 seconds, bootstrap likelihood -131192.859575, best rearrangement setting 6
Bootstrap[115]: Time 60.398497 seconds, bootstrap likelihood -133911.743936, best rearrangement setting 7
Bootstrap[116]: Time 96.628051 seconds, bootstrap likelihood -135059.195275, best rearrangement setting 11
Bootstrap[117]: Time 69.107086 seconds, bootstrap likelihood -117145.637545, best rearrangement setting 8
Bootstrap[118]: Time 81.713080 seconds, bootstrap likelihood -134021.785190, best rearrangement setting 9
Bootstrap[119]: Time 117.539934 seconds, bootstrap likelihood -134261.081105, best rearrangement setting 14
Bootstrap[120]: Time 95.612936 seconds, bootstrap likelihood -133980.401659, best rearrangement setting 12
Bootstrap[121]: Time 66.662706 seconds, bootstrap likelihood -134069.235852, best rearrangement setting 8
Bootstrap[122]: Time 82.261248 seconds, bootstrap likelihood -137900.210673, best rearrangement setting 9
Bootstrap[123]: Time 55.451585 seconds, bootstrap likelihood -124772.164645, best rearrangement setting 6
Bootstrap[124]: Time 93.934736 seconds, bootstrap likelihood -137275.752697, best rearrangement setting 11
Bootstrap[125]: Time 89.739416 seconds, bootstrap likelihood -130559.507643, best rearrangement setting 11
Bootstrap[126]: Time 92.704550 seconds, bootstrap likelihood -129685.464477, best rearrangement setting 12
Bootstrap[127]: Time 73.624608 seconds, bootstrap likelihood -121495.875302, best rearrangement setting 9
Bootstrap[128]: Time 87.565716 seconds, bootstrap likelihood -134132.685469, best rearrangement setting 11
Bootstrap[129]: Time 46.598073 seconds, bootstrap likelihood -138965.246578, best rearrangement setting 5
Bootstrap[130]: Time 84.387866 seconds, bootstrap likelihood -125553.173452, best rearrangement setting 10
Bootstrap[131]: Time 78.492179 seconds, bootstrap likelihood -126156.501825, best rearrangement setting 9
Bootstrap[132]: Time 111.296103 seconds, bootstrap likelihood -133133.001100, best rearrangement setting 14
Bootstrap[133]: Time 105.591632 seconds, bootstrap likelihood -130156.343062, best rearrangement setting 13
Bootstrap[134]: Time 56.411186 seconds, bootstrap likelihood -138587.994262, best rearrangement setting 6
Bootstrap[135]: Time 96.714628 seconds, bootstrap likelihood -127336.054072, best rearrangement setting 11
Bootstrap[136]: Time 105.157349 seconds, bootstrap likelihood -128504.955335, best rearrangement setting 13
Bootstrap[137]: Time 53.635976 seconds, bootstrap likelihood -122313.948891, best rearrangement setting 6
Bootstrap[138]: Time 103.356445 seconds, bootstrap likelihood -133528.973748, best rearrangement setting 15
Bootstrap[139]: Time 46.377096 seconds, bootstrap likelihood -135089.525435, best rearrangement setting 5
Bootstrap[140]: Time 108.213850 seconds, bootstrap likelihood -118304.728359, best rearrangement setting 13
Bootstrap[141]: Time 44.714688 seconds, bootstrap likelihood -125083.703985, best rearrangement setting 5
Bootstrap[142]: Time 121.694139 seconds, bootstrap likelihood -129462.137995, best rearrangement setting 15
